CHIEF MINISTER,STATE,PARTY,TIME PERIOD,POPULATION
Y.S. Jagan Mohan Reddy,Andhra Pradesh,YSRCP,4 YEARS,9.1 CRORES
Pema Khandu,Arunachal Pradesh,BJP,7 YEARS,0.17 CRORES
Himanta Biswa Sarma,Assam,BJP,2 YEARS,3.5 CRORES
Nitish Kumar,Bihar,JD,8 YEARS,12.8 CRORES
Bhupesh Baghel,Chhattisgarh,INC,4 YEARS,0.11 CRORES
Arvind Kejriwal,Delhi,AAP,8 YEARS,1.9CR ORES
Pramod Sawant,Goa,BJP,4 YEARS,0.15 CRORES
Bhupendrabhai Patel,Gujarat,BJP,2 YEARS,7 CRORES
Manohar Lal Khattar,Haryana,BJP,9 YEARS,2.8 CRORES
Sukhvinder Singh Sukhu,Himachal Pradesh,INC,1 YEARS,0.7 CRORES
Vacent(President Rule),Jammu and Kashmir,N/A,5 YEARS,1.4 CRORES
Hemant Soren,Jharkhand,JMM,3 YEARS,4 CRORES
Siddaramaiah,Karnataka,INC,1 YEARS,6.9 CRORES
Pinarayi Vijayan,Kerala,CPI,7 YEARS,3.4 CRORES
Shivraj Singh Chouhan,Madhya Pradesh,BJP, 3YEARS,8.5 CRORES
Eknath Shinde,Maharashtra,SS,1 YEARS,12.4 CRORES
N. Biren Singh,Manipur,BJP,6  YEARS,0.3 CRORES
Conrad Sangma,Meghalaya,NPP,5 YEARS,0.37 CRORES
Zoramthanga,Mizoram,MNF,4 YEARS,0.13 CRORES
Neiphiu Rio,Nagaland,NDPP,5 YEARS,0.2 CRORES
Naveen Patnaik,Odisha,BJDA,23 YEARS,4.7 CRORES
N. Rangaswamy,Puducherry,AINRC,2 YEARS,0.16 CRORES
Bhagwant Mann,Punjab,AAP,1 YEARS,3 CRORES
Ashok Gehlot,Rajasthan,INC,4 YEARS,7.9 CRORES
Prem Singh Tamang,Sikkim,SKM,4 YEARS,0.06 CRORES
M. K. Stalin,Tamil Nadu,DMK,2 YEARS,8.3  CRORES
K. Chandrashekar Rao,Telangana,BRS,9 YEARS,3.8  CRORES
Manik Saha,Tripura,BJP,1 YEARS,0.4 CRORES
Yogi Adityanath,Uttar Pradesh,BJP,6 YEARS,23.1 CRORES
Pushkar Singh Dhami,Uttarakhand,BJP,2 YEARS,1.1 CRORES
Mamata Banerjee,West Bengal,AITC,12 YEARS,10 CRORES
